idx	env	arm	t	seed	log	cmd
0	tworoom	gcrouter_off_s42_tauown_lewmarb	25	42	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
1	tworoom	gcrouter_off_s42_tauown_lewmarb	25	43	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed43.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 43 --cem-seed 43
2	tworoom	gcrouter_off_s42_tauown_lewmarb	25	44	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed44.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 44 --cem-seed 44
3	tworoom	gcrouter_off_s42_tauown_lewmarb	25	45	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed45.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 45 --cem-seed 45
4	tworoom	gcrouter_off_s42_tauown_lewmarb	25	46	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed46.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 46 --cem-seed 46
5	tworoom	gcrouter_off_s42_tauown_lewmarb	25	47	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed47.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 47 --cem-seed 47
6	tworoom	gcrouter_off_s42_tauown_lewmarb	25	48	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed48.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 48 --cem-seed 48
7	tworoom	gcrouter_off_s42_tauown_lewmarb	25	49	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t25_seed49.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h50_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 49 --cem-seed 49
8	tworoom	gcrouter_off_s42_tauown_lewmarb	50	42	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t50_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h100_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 50 --eval-budget 100 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
9	tworoom	gcrouter_off_s42_tauown_lewmarb	50	43	logs/rbTR_tworoom_gcrouter_off_s42_tauown_lewmarb_t50_seed43.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_tworoom_h100_s42.pt --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.127 --retire-tau 1.323 --sg-steps 10 --cstar-route --receding-horizon 2 --mode long --goal-offset 50 --eval-budget 100 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 43 --cem-seed 43
