idx	env	arm	t	seed	log	cmd
0	cube	gcidm_off_s42	25	42	logs/rbI_cube_gcidm_off_s42_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm --gcidm-ckpt gcidm_official_cube_h50_s42.pt --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
1	cube	gcsurv_off_s42	25	42	logs/rbI_cube_gcsurv_off_s42_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_cube_h50_s42.pt --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.20 --sg-steps 10 --goal-gate --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
2	cube	gcevery_off_s42	25	42	logs/rbI_cube_gcevery_off_s42_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_cube_h50_s42.pt --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.0 --sg-steps 10 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
3	cube	gcblind_off_s42	25	42	logs/rbI_cube_gcblind_off_s42_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_cube_h50_s42.pt --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 999 --sg-steps 10 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
4	cube	gcidm_off_s123	25	42	logs/rbI_cube_gcidm_off_s123_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm --gcidm-ckpt gcidm_official_cube_h50_s123.pt --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
5	cube	gcsurv_off_s123	25	42	logs/rbI_cube_gcsurv_off_s123_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_cube_h50_s123.pt --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.20 --sg-steps 10 --goal-gate --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
6	cube	gcevery_off_s123	25	42	logs/rbI_cube_gcevery_off_s123_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_cube_h50_s123.pt --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.0 --sg-steps 10 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
7	cube	gcblind_off_s123	25	42	logs/rbI_cube_gcblind_off_s123_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_cube_h50_s123.pt --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 999 --sg-steps 10 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
8	cube	gcidm_off_s456	25	42	logs/rbI_cube_gcidm_off_s456_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm --gcidm-ckpt gcidm_official_cube_h50_s456.pt --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
9	cube	gcsurv_off_s456	25	42	logs/rbI_cube_gcsurv_off_s456_t25_seed42.log	python -m surveyor.envs.cube.eval --subgoal gcidm+surveyor --gcidm-ckpt gcidm_official_cube_h50_s456.pt --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.20 --sg-steps 10 --goal-gate --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --start final --goal-offset 25 --eval-budget 50 --num-eval 128 --seed 42 --cem-seed 42 --episode-min 8000
