idx	env	arm	t	seed	log	cmd
0	tworoom	flat_rh2	25	42	logs/rbE_tworoom_flat_rh2_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal flat --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
1	tworoom	flat_rh5	25	42	logs/rbE_tworoom_flat_rh5_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal flat --receding-horizon 5 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
2	tworoom	pair_every	25	42	logs/rbE_tworoom_pair_every_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal paired+surveyor --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.0 --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
3	tworoom	pair_accept	25	42	logs/rbE_tworoom_pair_accept_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal paired+surveyor --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.098 --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
4	tworoom	pair_blind	25	42	logs/rbE_tworoom_pair_blind_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal paired+surveyor --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 999 --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
5	tworoom	gcidm	25	42	logs/rbE_tworoom_gcidm_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal gcidm --gcidm-ckpt gcidm_tworoom_h50.pt --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
6	tworoom	random	25	42	logs/rbE_tworoom_random_t25_seed42.log	python -m surveyor.envs.tworoom.eval --subgoal random --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 42 --cem-seed 42
7	tworoom	flat_rh2	25	43	logs/rbE_tworoom_flat_rh2_t25_seed43.log	python -m surveyor.envs.tworoom.eval --subgoal flat --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 43 --cem-seed 43
8	tworoom	flat_rh5	25	43	logs/rbE_tworoom_flat_rh5_t25_seed43.log	python -m surveyor.envs.tworoom.eval --subgoal flat --receding-horizon 5 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 43 --cem-seed 43
9	tworoom	pair_every	25	43	logs/rbE_tworoom_pair_every_t25_seed43.log	python -m surveyor.envs.tworoom.eval --subgoal paired+surveyor --gdm-ckpt gdm_tworoom_s10_gc_paired_e400v.pt --gdm-steps 50 --accept-tau 0.0 --receding-horizon 2 --mode long --goal-offset 25 --eval-budget 50 --h5 "$DATA/tworoom.h5" --source pretrained --encoder-id quentinll/lewm-tworooms --device cuda --eval-filter none --episode-min 4000 --goal-from-proprio --num-eval 64 --seed 43 --cem-seed 43
