idx	env	arm	t	seed	log	cmd
0	pusht	gd_flat_rh2	25	42	logs/rbR_pusht_gd_flat_rh2_t25_seed42.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 42 --cem-seed 42
1	pusht	gd_flat_rh2	25	43	logs/rbR_pusht_gd_flat_rh2_t25_seed43.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 43 --cem-seed 43
2	pusht	gd_flat_rh2	25	44	logs/rbR_pusht_gd_flat_rh2_t25_seed44.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 44 --cem-seed 44
3	pusht	gd_flat_rh2	25	45	logs/rbR_pusht_gd_flat_rh2_t25_seed45.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 45 --cem-seed 45
4	pusht	gd_flat_rh2	25	46	logs/rbR_pusht_gd_flat_rh2_t25_seed46.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 46 --cem-seed 46
5	pusht	gd_flat_rh2	25	47	logs/rbR_pusht_gd_flat_rh2_t25_seed47.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 47 --cem-seed 47
6	pusht	gd_flat_rh2	25	48	logs/rbR_pusht_gd_flat_rh2_t25_seed48.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 48 --cem-seed 48
7	pusht	gd_flat_rh2	25	49	logs/rbR_pusht_gd_flat_rh2_t25_seed49.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes25.json --goal-offset 25 --eval-budget 50 --num-eval 256 --score block --angles 20 5 --seed 49 --cem-seed 49
8	pusht	gd_flat_rh2	50	42	logs/rbR_pusht_gd_flat_rh2_t50_seed42.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 42 --cem-seed 42
9	pusht	gd_flat_rh2	50	43	logs/rbR_pusht_gd_flat_rh2_t50_seed43.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 43 --cem-seed 43
10	pusht	gd_flat_rh2	50	44	logs/rbR_pusht_gd_flat_rh2_t50_seed44.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 44 --cem-seed 44
11	pusht	gd_flat_rh2	50	45	logs/rbR_pusht_gd_flat_rh2_t50_seed45.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 45 --cem-seed 45
12	pusht	gd_flat_rh2	50	46	logs/rbR_pusht_gd_flat_rh2_t50_seed46.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 46 --cem-seed 46
13	pusht	gd_flat_rh2	50	47	logs/rbR_pusht_gd_flat_rh2_t50_seed47.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 47 --cem-seed 47
14	pusht	gd_flat_rh2	50	48	logs/rbR_pusht_gd_flat_rh2_t50_seed48.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 48 --cem-seed 48
15	pusht	gd_flat_rh2	50	49	logs/rbR_pusht_gd_flat_rh2_t50_seed49.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes50.json --goal-offset 50 --eval-budget 100 --num-eval 256 --score block --angles 20 5 --seed 49 --cem-seed 49
16	pusht	gd_flat_rh2	75	42	logs/rbR_pusht_gd_flat_rh2_t75_seed42.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes75.json --goal-offset 75 --eval-budget 150 --num-eval 256 --score block --angles 20 5 --seed 42 --cem-seed 42
17	pusht	gd_flat_rh2	75	43	logs/rbR_pusht_gd_flat_rh2_t75_seed43.log	python -m surveyor.envs.pusht.eval --solver gd --subgoal flat --horizon 2 --receding-horizon 2 --source pretrained --h5 pusht_c2222.h5 --device cuda --mode long --episodes-file episodes/pusht_c2222.episodes75.json --goal-offset 75 --eval-budget 150 --num-eval 256 --score block --angles 20 5 --seed 43 --cem-seed 43
