idx	env	arm	t	seed	log	cmd
0	cube	gd_router_tauown	175	42	logs/rbW_cube_gd_router_tauown_t175_seed42.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 42 --cem-seed 42 --episodes-file episodes/cube_c2222.episodes175.json
1	cube	gd_router_tauown	175	43	logs/rbW_cube_gd_router_tauown_t175_seed43.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 43 --cem-seed 43 --episodes-file episodes/cube_c2222.episodes175.json
2	cube	gd_router_tauown	175	44	logs/rbW_cube_gd_router_tauown_t175_seed44.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 44 --cem-seed 44 --episodes-file episodes/cube_c2222.episodes175.json
3	cube	gd_router_tauown	175	45	logs/rbW_cube_gd_router_tauown_t175_seed45.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 45 --cem-seed 45 --episodes-file episodes/cube_c2222.episodes175.json
4	cube	gd_router_tauown	175	46	logs/rbW_cube_gd_router_tauown_t175_seed46.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 46 --cem-seed 46 --episodes-file episodes/cube_c2222.episodes175.json
5	cube	gd_router_tauown	175	47	logs/rbW_cube_gd_router_tauown_t175_seed47.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 47 --cem-seed 47 --episodes-file episodes/cube_c2222.episodes175.json
6	cube	gd_router_tauown	175	48	logs/rbW_cube_gd_router_tauown_t175_seed48.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 48 --cem-seed 48 --episodes-file episodes/cube_c2222.episodes175.json
7	cube	gd_router_tauown	175	49	logs/rbW_cube_gd_router_tauown_t175_seed49.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 175 --eval-budget 350 --num-eval 128 --seed 49 --cem-seed 49 --episodes-file episodes/cube_c2222.episodes175.json
8	cube	gd_router_tauown	195	42	logs/rbW_cube_gd_router_tauown_t195_seed42.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 195 --eval-budget 390 --num-eval 128 --seed 42 --cem-seed 42 --episodes-file episodes/cube_c2222.episodes195.json
9	cube	gd_router_tauown	195	43	logs/rbW_cube_gd_router_tauown_t195_seed43.log	python -m surveyor.envs.cube.eval --solver gd --subgoal router+surveyor --gdm-ckpt gdm_cube_s10_gc.pt --gdm-steps 3 --accept-tau 0.794 --horizon 2 --receding-horizon 2 --num-samples 600 --n-steps 30 --source pretrained --encoder-id quentinll/lewm-cube --h5 "$CUBE_H5" --device cuda --goal-offset 195 --eval-budget 390 --num-eval 128 --seed 43 --cem-seed 43 --episodes-file episodes/cube_c2222.episodes195.json
